,Simulated Returns
801,-1.001576260381919
802,64.61917393150226
803,-1.0000322220702655
804,-3.5941654392621194
805,4.848671124815701
806,-1.0000000012697732
807,-0.9999999999997866
808,-50571507.92921901
809,-1.0000756192771303
810,-1.320879675498281
811,-1.000010265048615
812,24582087806.17053
813,-1.0288870362894231
814,-575.7097629918399
815,-30.800723373079297
816,-1.0000097767315257
817,-0.9999999983947361
818,-53.20728732057011
819,-0.9994195386651412
820,-1.000000052545113
821,-7.2380375610673005
822,-1.000004554441205
823,-1.0000000095964616
824,-0.9994857570712352
825,-0.9999999981520235
826,-8323100.659473743
827,-0.9953309783904615
828,-0.999999913899654
829,513352.72643762815
830,-0.9998651766244602
831,-1.0000330377925828
832,-0.9911327749309147
833,13631.61254790371
834,-0.9321083795081195
835,-1.2300031000298848
836,-0.9999575880666672
837,-1.000556538724518
838,-0.9914557539776833
839,-0.9998236378802574
840,890204271.0212885
841,0.1301569080747489
842,-163.83212095364044
843,-1.0000000212170974
844,-0.9999992972449888
845,-0.9999999999999201
846,-103034384.86012669
847,-1.0
848,-0.9999999970403514
849,3595028.378738642
850,-1.0000078427270391
851,-2592876.493122244
852,-0.5227230401074415
853,-1.00000000214592
854,-0.9999936939112772
855,-12.15637817994283
856,-0.9990622221299176
857,4526.27432824138
858,4.976598294514159
859,-1.0000000000083547
860,-0.9999664872632417
861,-1.0000000000212679
862,-13.654237534640588
863,-0.9999846070020504
864,-4.272469845047787
865,-247.47855872117725
866,-1.000682807206429
867,-1.0018923842933642
868,-0.9999986228221492
869,-0.9983468055236614
870,-1.0000014464310525
871,-1.0
872,-3600546303.7730885
873,3593.273662785972
874,-11288438.775739329
875,-0.19527921324361286
